0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
Rank,Symbol,Company Name,Quant Ratings,SA Analyst Ratings,Wall Street Ratings,Market Cap,Market Cap In Billions, Div Yield ,C-Valuation,C-Growth,C-Profitability,C-Momentum,C-EPS Rev.,Growth,Profitability,Momentum,EPS Rev.,Valuation
1,MAMA,Mama's Creations| Inc.,4.99,4.33,4.66,158529024,0.158529024, N/A ,1.33,4.33,3.33,4.33,4,A+,5,A+,A,D+
2,META,Meta Platforms| Inc.,4.99,3.93,4.49,8.02E+11,802.106, N/A ,1,3.33,4.33,4.33,3.67,B+,A+,A+,A-,D
3,ULBI,Ultralife Corporation,4.99,4,5,163606528,0.163606528, N/A ,1.33,4.33,1.33,4.33,3.67,A+,D+,A+,A-,D+
4,AAOI,Applied Optoelectronics| Inc.,4.99,4,4.33,325256352,0.325256352, N/A ,2.33,2.33,1.67,4.33,4,C+,C-,A+,A,C+
5,APP,AppLovin Corporation,4.99,3.6,4.09,14816094200,14.8160942, N/A ,1,4.33,4,4.33,4,A+,A,A+,A,D
6,CVNA,Carvana Co.,4.99,2.26,2.65,10332212200,10.3322122, N/A ,1.33,2,1,4.33,4,C,D,A+,A,D+
7,RYCEY,Rolls-Royce Holdings plc,4.99,3,4.5,23549521900,23.5495219, N/A ,2.67,4.33,4.33,4.33,3.67,A+,A+,A+,A-,B-
8,CLS,Celestica Inc.,4.99,3.5,4.28,2961421310,2.96142131, N/A ,4,3.33,2.67,4.33,3.67,B+,B-,A+,A-,A
9,RETA,Reata Pharmaceuticals| Inc.,4.98,4,3,6555015200,6.5550152, N/A ,1.33,3,2.67,4.33,4,B,B-,A+,A,D+
10,MLTX,MoonLake Immunotherapeutics,4.98,4,4.5,3070142980,3.07014298, N/A ,2.33,4.33,2.33,4.33,3.33,A+,C+,A+,B+,C+
11,THRN,Thorne HealthTech| Inc.,4.98,3,3.8,547932860,0.54793286, N/A ,1,4,1.33,4.33,4,A,D+,A+,A,D
12,POWL,Powell Industries| Inc.,4.98,4,3,951574590,0.95157459,0.0132,1.33,4.33,3.33,4.33,3.33,A+,B+,A+,B+,D+
13,NPCE,NeuroPace| Inc.,4.98,3,4,207135744,0.207135744, N/A ,2,2,2.33,4.33,4.33,C,C+,A+,A+,C
14,ANF,Abercrombie & Fitch Co.,4.98,3.5,3.77,2638710530,2.63871053, N/A ,2,4,2.67,4.33,3.67,A,B-,A+,A-,C
15,CAMT,Camtek Ltd.,4.98,3.5,4.28,2528866820,2.52886682, N/A ,1,2,3.33,4.33,4.33,C,B+,A+,A+,D
16,HRTG,Heritage Insurance Holdings| Inc.,4.98,N/A,4,130540536,0.130540536, N/A ,4.33,3.67,2.67,4.33,4.33,A-,B-,A+,A+,A+
17,LMB,Limbach Holdings| Inc.,4.97,4,4.5,362892928,0.362892928, N/A ,2.67,3.33,2.67,4.33,4,B+,B-,A+,A,B-
18,SMCI,Super Micro Computer| Inc.,4.97,3.5,4.37,14325343200,14.3253432, N/A ,1.33,4,3.67,4.33,3.67,A,A-,A+,A-,D+
19,TAST,Carrols Restaurant Group| Inc.,4.97,3,5,315415008,0.315415008, N/A ,2.33,2.67,1.67,4.33,4,B-,C-,A+,A,C+
20,WFRD,Weatherford International plc,4.97,4,4.42,6860786700,6.8607867, N/A ,1.33,3.67,2,4.33,4,A-,C,A+,A,D+
21,STRL,Sterling Infrastructure| Inc.,4.97,3.33,4,2303034370,2.30303437, N/A ,2.67,3.67,3.33,4.33,4,A-,B+,A+,A,B-
22,LWAY,Lifeway Foods| Inc.,4.97,3.5,5,183262240,0.18326224, N/A ,1.67,4,2.33,4.33,4.33,A,C+,A+,A+,C-
23,NSPR,InspireMD| Inc.,4.97,N/A,4.5,74606760,0.07460676, N/A ,2.33,3.67,1,4.33,4.33,A-,D,A+,A+,C+
24,MOD,Modine Manufacturing Company,4.97,4,4.75,2353269250,2.35326925, N/A ,2,3.67,2.67,4.33,3.67,A-,B-,A+,A-,C
25,GOOG,Alphabet Inc.,4.96,4.06,4.43,1.75E+12,1749.64, N/A ,1,3,4.33,4,3.33,B,A+,A,B+,D
26,GOOGL,Alphabet Inc.,4.96,4.14,4.42,1.75E+12,1749.64, N/A ,1,2.67,4.33,4,3.33,B-,A+,A,B+,D
27,BZH,Beazer Homes USA| Inc.,4.96,2,4.33,785766530,0.78576653, N/A ,4,1.67,3.33,4.33,4.33,C-,B+,A+,A+,A
28,PKX,POSCO Holdings Inc.,4.96,4,5,33352931300,33.3529313,0.0156,2,3,4.33,4.33,4,B,A+,A+,A,C
29,CAAP,Corporaci¢n Am‚rica Airports S.A.,4.96,4.66,3.33,2238269440,2.23826944, N/A ,3.33,4.33,3.67,4.33,3.67,A+,A-,A+,A-,B+
30,INTR,Inter & Co| Inc.,4.96,4,3.33,1767780350,1.76778035, N/A ,1,4.33,2.67,4.33,4.33,A+,B-,A+,A+,D
31,DTST,Data Storage Corporation,4.96,N/A,4,23511116,0.023511116, N/A ,3,4.33,2,4.33,3.67,A+,C,A+,A-,B
32,BRK.B,Berkshire Hathaway Inc.,4.96,3.81,3.66,8.03E+11,803.078, N/A ,2.33,3.67,4.33,4,4.33,A-,A+,A,A+,C+
33,ORN,Orion Group Holdings| Inc.,4.95,N/A,5,159203792,0.159203792, N/A ,3.67,4.33,1.33,4.33,3,A+,D+,A+,B,A-
34,MHO,M/I Homes| Inc.,4.95,3,3,2475780350,2.47578035, N/A ,4,2,3.67,4.33,4.33,C,A-,A+,A+,A
35,UBER,Uber Technologies| Inc.,4.95,3.5,4.57,97108197000,97.108197, N/A ,1.33,4.33,2.67,4.33,4.33,A+,B-,A+,A+,D+
36,DFH,Dream Finders Homes| Inc.,4.95,2,3,2237391870,2.23739187, N/A ,2.67,2.33,3.33,4.33,3.67,C+,B+,A+,A-,B-
37,SBOW,SilverBow Resources| Inc.,4.95,3,5,890529280,0.89052928, N/A ,4.33,3,3.33,4,4.33,B,B+,A,A+,A+
38,MPC,Marathon Petroleum Corporation,4.95,3.6,4,61500015000,61.500015,0.0195,2.33,3.67,4,4,4,A-,A,A,A,C+
39,LI,Li Auto Inc.,4.95,4,4.6,40718164000,40.718164, N/A ,3,4.33,4,4.33,3.33,A+,A,A+,B+,B
40,QTRX,Quanterix Corporation,4.95,4,3.75,996270080,0.99627008, N/A ,2,2.33,3,4.33,4,C+,B,A+,A,C
41,TM,Toyota Motor Corporation,4.94,3.83,3.5,2.58E+11,258.038,0.0225,2,4.33,4.33,4,3.67,A+,A+,A,A-,C
42,ORIC,ORIC Pharmaceuticals| Inc.,4.94,4,4.71,449894080,0.44989408, N/A ,3,2.67,2.33,4.33,3.67,B-,C+,A+,A-,B
43,CMT,Core Molding Technologies| Inc.,4.94,3,5,221098944,0.221098944, N/A ,3.33,4.33,2.67,4.33,4.33,A+,B-,A+,A+,B+
44,PLTR,Palantir Technologies Inc.,4.94,3.61,2.61,32987482100,32.9874821, N/A ,1.67,4.33,3.33,4.33,3.33,A+,B+,A+,B+,C-
45,PBF,PBF Energy Inc.,4.94,3.66,3.46,6709223900,6.7092239,0.0148,4,2,3,4,4,C,B,A,A,A
46,HNRG,Hallador Energy Company,4.94,3,3,401354496,0.401354496, N/A ,3.33,3,2.33,4.33,4,B,C+,A+,A,B+
47,LTMAY,LATAM Airlines Group S.A.,4.94,1,3.5,5833308200,5.8333082, N/A ,4,4.33,1,4.33,3.67,A+,D,A+,A-,A
48,PARR,Par Pacific Holdings| Inc.,4.94,3,3.83,2101316610,2.10131661, N/A ,3,3.33,2.33,4.33,4,B+,C+,A+,A,B
49,CMCSA,Comcast Corporation,4.93,3.66,4.06,1.90E+11,189.632,0.0247,1.67,1.67,4.33,4,3.33,C-,A+,A,B+,C-
50,ISNPY,Intesa Sanpaolo S.p.A.,4.93,4.25,3,48100024000,48.100024,0.0661,4.33,4.33,4.33,3.67,4,A+,A+,A-,A,A+
51,BWAY,BrainsWay Ltd.,4.93,5,4.6,62423716,0.062423716, N/A ,2.67,2.67,2.67,4.33,3.33,B-,B-,A+,B+,B-
